domain,cc,size_mobile,size_desktop
ww2.radionigeria.gov.ng,NG,-1,-1
www.1847post.com,LR,12520,12520
www.24haubenin.info,BJ,52376,52376
www.24hnewspaper.net,EG,9668,57588
www.3-mob.com,ZW,83224,83745
www.5plus.mu,MU,91725,91725
www.702.co.za,ZA,52644,52642
www.aayaha.net,SO,-1,-1
www.abamako.com,ML,67190,67190
www.abidjan.net,CI,101115,101115
www.aboutalgeria.com,DZ,303785,303786
www.abp.gouv.bj,BJ,-1,-1
www.acholitimes.com,UG,65077,65190
www.acotonou.com,BJ,62746,62746
www.actsa.org,AO,31945,31945
www.actubenin.com,BJ,322522,323217
www.actuburkina.com,BF,2710,2748
www.actuel-dz.com,DZ,92127,92123
www.actuniger.com,NE,99613,99613
www.actusen.com,SN,245156,245859
www.addisadmassnews.com,ET,52600,52600
www.adi.dj,DJ,1412,1412
www.adiac-congo.com,CG,98901,98901
www.afbis.com,NG,81793,81793
www.africa21digital.com,AO,105678,105678
www.africaguinee.com,GQ,206246,206246
www.africanewsposts.com,KE,747,747
www.africanexaminer.com,NG,191016,191136
www.africanheraldexpress.com,NG,39730,39730
www.africapresse.com,CM,108044,108044
www.africasports.net,SO,109084,109084
www.africatoday.co.ao,AO,85448,85448
www.afrik53.com,CI,153512,153512
www.afrol.com,SO,65962,65962
www.agpgabon.ga,GA,23874,23874
www.ahdath.info,MA,92473,198074
www.ahram.org.eg,EG,406100,406100
www.aib.bf,BF,62252,62252
www.aip.ci,CI,127603,127603
www.akaboozi.fm,UG,85108,85109
www.akhbaralyoumsd.net,SD,5536,5922
www.akhbarelyoum.dz,DZ,83520,83520
www.akhbarlibya24.net,LY,359,359
www.akhersaa-dz.com,DZ,309795,220974
www.akwaibomnewsonline.com,NG,40448,29805
www.al-fadjr.com,DZ,276813,276813
www.al-jarida.net,MA,38674,38674
www.alakhbar.info,MR,84119,84119
www.alalam.ma,MA,160895,160895
www.alaroyeonline.com,NG,315,315
www.alayaam.net,SD,-1,-1
www.albassair.org,DZ,51768,51811
www.alchourouk.com,TN,-1,-1
www.alenalki.com,ER,203,203
www.alfa.cv,CV,4669,4669
www.alger-info.com,DZ,-1,-1
www.alger-republicain.com,DZ,55078,55078
www.algerep.com,DZ,56410,56410
www.algeria-newspapers.com,DZ,104301,104301
www.algeria-watch.org,DZ,2797,2797
www.algeriabusinessinfo.com,DZ,-1,-1
www.algeriatimes.net,DZ,205562,205562
www.algerie-focus.com,DZ,222008,222000
www.algerie1.com,DZ,74074,75097
www.algerie360.com,DZ,148002,148341
www.algerieconfluences.com,DZ,9054,9629
www.algeriepatriotique.com,DZ,300423,300423
www.algomhuria.net.eg,EG,99,99
www.allghananews.com,GH,128555,128555
www.allnigeriasoccer.com,NG,19272,18901
www.allpuntland.com,SO,93940,93940
www.allsomali.com,SO,10518,10401
www.almaghribia.ma,MA,46822,46821
www.almasryalyoum.com,EG,67241,125953
www.almassaepress.com,MA,7010,7307
www.almessa.net.eg,EG,251763,251763
www.almizan.info,NG,33264,33264
www.almshaheer.com,SD,67683,67683
www.alome.com,TG,60459,60459
www.alqarn.dj,DJ,92396,92396
www.alrakoba.net,SD,-1,-1
www.alsahafa.info,SD,18662,18594
www.alsudani.net,SD,-1,-1
www.alwafd.org,EG,51690,122494
www.alwaslonline.com,DZ,-1,-1
www.alwatanalarabi.com,EG,219292,180316
www.alwatwan.net,KM,42315,42315
www.alwihdainfo.com,TD,150080,150080
www.amalawi.info,MW,34476,79929
www.ami.mr,MR,50240,50240
www.angola24.net,AO,21523,21523
www.angola24horas.com,AO,151247,151247
www.angolaglobal.net,AO,298,298
www.angolamonitor.co.ao,AO,-1,-1
www.angonoticias.com,AO,45493,45486
www.ann7.com,ZA,215146,215146
www.annabacity.net,DZ,51085,51304
www.annasronline.com,DZ,99562,99562
www.antennereunion.fr,RE,343723,343723
www.aouaga.com,BF,66531,66531
