domain,name,cc,region,type,category,language,comment,geoloc_cc,geoloc_city,traceloc_cc,traceloc_city,size_mobile,size_desktop
guineeactu.info,Guinee Actu,GQ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
guineenews.org,Guinee News,GQ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
haatuf.net,Haatuf,SO,Hargeisa,NP,GI,SOM,,NULL,NULL,NULL,NULL,NULL,NULL
happyghana.com,Happy FM,GH,Accra,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
hebdo.ahram.org.eg,Al Ahram Hebdo,EG,Cairo - Le Caire,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
heritageliberia.net,Heritage,LR,Monrovia,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
highwaymail.co.za,Highway Mail,ZA,Pinetown,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
hmetro.co.zw,H Metro,ZW,Harare,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
hotnaijanews.com,Hot Naija News,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
iharare.com,I Harare,ZW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
imvahonshya.co.rw,Imvaho Nshya,RW,National,NP,GI,KIN,,NULL,NULL,NULL,NULL,NULL,NULL
ireports-ng.com,I Reports NG,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
isoexpress.co.za,Isolomzi Express,ZA,Cala,NP,GI,ENG,Also XHO,NULL,NULL,NULL,NULL,NULL,NULL
itvradionigeria.com,Independent Television and Radio,NG,Benin City,BC,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
jamboleonews.blogspot.com,Jambo Leo,TZ,Dar es Salaam,NP,GI,SWA,,NULL,NULL,NULL,NULL,NULL,NULL
joburgeastexpress.co.za,Joburg East Express,ZA,Johannesburg (East),NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
jornaldeangola.sapo.ao,Jornal de Angola,AO,National,NP,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
jornaldeeconomia.sapo.ao,Economia e Financas,AO,Luanda,NP,BU,POR,,NULL,NULL,NULL,NULL,NULL,NULL
jornaldosdesportos.sapo.ao,Jornal dos Desportos,AO,Luanda,NP,SP,POR,,NULL,NULL,NULL,NULL,NULL,NULL
jornalf8.net,Folha 8,AO,Luanda,NP,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
journal.rdpcpdm.cm,L'Action,CM,Yaounde,NP,GI,FRA,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
kabyleuniversel.com,Kabyle Universel,DZ,Tizi Ouzou,IN,ET,FRA,Kabyle,NULL,NULL,NULL,NULL,NULL,NULL
kampalasun.co.ug,Kampala Sun,UG,Kampala,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
kemptonexpress.co.za,Kempton Express,ZA,Kempton Park,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
kenyanewsagency.go.ke,Kenya News Agency,KE,National,PA,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
kfm.co.ug,KFM,UG,Kampala,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
krugersdorpnews.co.za,Krugersdorp News,ZA,Krugersdorp,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
kumasimail.com,Kumasi Mail,GH,Kumasi,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
kwekwebiz.com,Kwekwe Biz,ZW,Kwekwe,IN,GI,ENG,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ladysmithgazette.co.za,Ladysmith Gazette,ZA,Ladysmith,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
laghouatinfo.net,Laghouat Info,DZ,Laghouat,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
lalternative-togo.com,L'Alternative,TG,Lome,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
landbou.com,Landbou Weekblad,ZA,Cape Town,NP,AG,AFR,,NULL,NULL,NULL,NULL,NULL,NULL
latribunedelacapitale.com,La Tribune de La Capitale,BJ,Porto Novo,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lautrefraternite.com,L'Autre Fraternite,BJ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lavoixdesidibelabbes.info,La Voix de Sidi bel Abbes,DZ,Sidi bel Abbes,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
leadership.ng,Leadership,NG,Abuja,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
leboncoin.nu,Le Boncoin,MU,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lechiffredaffaires.net,Le Chiffre d'Affaires,DZ,Alger,NP,BU,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lecitoyendz.com,Le Citoyen,DZ,Alger,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lecombat.info,Le Combat,ML,Bamako,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
leconfrere.info,Le Confrere de La Matinee,BJ,Cotonou,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lecourrier-dalgerie.com,Le Courrier d'Algerie,DZ,Alger,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
ledaily.mg,Le Daily,MG,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
