"domain","name","cc","region","type","category","language","comment","geoloc_cc",size_mobile,size_desktop
"nigeriapoliticsonline.com","Nigeria Politics Online","NG","Nationwide","IN","GI","ENG","","US-UT",203044,203216
"nigeriastandardnewspaper.com","Naija Standard Newspaper","NG","Nationwide","IN","GI","ENG","","US-NJ",586129,586128
"northcliffmelvilletimes.co.za","Northcliff Melville Times","ZA","Northcliff","NP","GI","ENG","","US",128907,294438
"northeasterntribune.co.za","North Eastern Tribune","ZA","Johannesburg (East)","NP","GI","ENG","","US",109779,294245
"northglennews.co.za","Northglen News","ZA","Umhlanga","NP","GI","ENG","","US",109408,288856
"noticiasdonorte.publ.cv","Noticias do Norte","CV","Mindelo","IN","GI","POR","","US-CA",64739,64739
"novagazeta.co.ao","Nova Gazeta","AO","Luanda","NP","GI","POR","","PT",21726,21726
"ntv.nation.co.ke","NTV","KE","National","BC","GI","ENG","TV","US",39547,39547
"observer24.com.na","Windhoek Observer","NA","Windhoek","NP","GI","ENG","","DE",86592,86592
"ogavendor.com","Oga Vendor","NG","Nationwide","IN","GI","ENG","","DE",80132,100955
"ontveg.com","ON TV","EG","National","BC","GI","ARA","TV","US-AZ",320487,320326
"opais.co.ao","O Pais","AO","Luanda","NP","GI","POR","","US",85492,85494
"ouest-info.org","Ouest Info","DZ","Sidi bel Abbes","NP","GI","FRA","","FR",134628,134628
"patsakacommunityradio.org","Patsaka Nyaminyami Community Radio","ZW","Kariba","BC","GI","ENG","Radio","US-CA",97975,97942
"peaceghana.com","Peace Ghana","GH","National","IN","GI","ENG","","US-AZ",311,311
"plentynews.com","Plenty News","NG","Nationwide","IN","GI","ENG","","AU",1442,1442
"pointblanknews.com","Point Blank News","NG","Nationwide","IN","GI","ENG","","US-CA",104899,104899
"politicosl.com","Politico","SL","Freetown","NP","GI","ENG","","US-TX",67031,67031
"polokwaneexpress.co.za","Polokwane Express","ZA","Polokwane","NP","GI","ENG","","ZA",101593,271022
"ppbdi.com","PPB","BI","Nationwide","IN","GI","FRA","","US-TX",123230,122675
"pulse.ng","Pulse","NG","Nationwide","IN","EN","ENG","","DE",107860,146404
"puntlandi.com","Puntland I","SO","Garowe","IN","GI","ENG","","DK",145782,145782
"puntlandnews24.com","Puntland News 24","SO","Garowe","IN","GI","SOM","Also ENG","US-TX",103046,103046
"quotidienlemessager.net","Le Messager","CM","Douala","NP","GI","FRA","","US-TX",16485,27404
"radiodemocracy.sl","Radio Democracy","SL","Freetown","BC","GI","ENG","Radio","NL",97259,97259
"radiodespertarangola.net","Radio Despertar","AO","Luanda","BC","GI","POR","Radio","US-FL",114346,114346
"radiookapi.net","Radio Okapi","CD","National","BC","GI","FRA","Radio","US",61782,111495
"radioonefm90.com","Radio One","UG","Kampala","BC","GI","ENG","Radio","MU",44528,44528
"radiotamazuj.org","Radio Tamazuj","SS","National","BC","GI","ARA","Radio","NL",30192,30192
"randburgsun.co.za","Randburg Sun","ZA","Randburg","NP","GI","ENG","","US",108373,282377
"rasd.tv","RASD TV","EH","National","BC","GI","SPA","TV","DE",22309,26146
"realnewsmagazine.net","Realnews","NG","Nationwide","IN","GI","ENG","","US-UT",110083,110083
"rekordcenturion.co.za","Rekord Centurion","ZA","Centurion","NP","GI","AFR","Also ENG","US",123331,284396
"rekordeast.co.za","Pretoria East Rekord","ZA","Pretoria (East)","NP","GI","AFR","Also ENG","US",109838,300597
"reporters365.com","Reporters 365","NG","Nationwide","IN","GI","ENG","","US-GA",257995,257995
"reunion.la1ere.fr","La 1ere","RE","National","BC","GI","FRA","Radio TV","EU",151869,151869
"risingsunchatsworth.co.za","Rising Sun Chatsworth","ZA","Chatswoth","NP","GI","ENG","","US",113047,287730
"royaltimes.net","Royal Times","NG","Ilorin","IN","GI","ENG","","US-PA",78487,77960
"rwandawire.com","Rwanda News Wire","RW","National","IN","GI","ENG","","US-CA",37271,37271
