"domain","cc","geoloc_cc",size_mobile,"price1gb","price_mobile",size_desktop,"price_desktop"
"www.lanationdj.com","DJ","FR",59529,NULL,NULL,59529,NULL
"www.rtd.dj","DJ","FR",64541,NULL,NULL,64541,NULL
"ain-oulmene.com","DZ","FR",41495,"7.5817","0.0003",150175,"0.0011"
"akhbarachark.dz","DZ","FR",266092,"7.5817","0.0019",266092,"0.0019"
"algerienetwork.com","DZ","US",232029,"7.5817","0.0016",232029,"0.0016"
"bel-abbes.info","DZ","FR",4442,"7.5817","0.0000",171436,"0.0012"
"echosdesidibelabbes.info","DZ","GB",22952,"7.5817","0.0002",22952,"0.0002"
"el-youm.info","DZ","FR",215303,"7.5817","0.0015",215303,"0.0015"
"elmassar-ar.com","DZ","FR",74378,"7.5817","0.0005",74378,"0.0005"
"elraaed.com","DZ","FR",184886,"7.5817","0.0013",184886,"0.0013"
"elwaha-dz.com","DZ","GB",64133,"7.5817","0.0005",184751,"0.0013"
"elwatani.com","DZ","FR",108623,"7.5817","0.0008",108623,"0.0008"
"kabyleuniversel.com","DZ","US",248344,"7.5817","0.0018",248344,"0.0018"
"laghouatinfo.net","DZ","FR",107078,"7.5817","0.0008",892554,"0.0063"
"lavoixdesidibelabbes.info","DZ","FR",109740,"7.5817","0.0008",109740,"0.0008"
"lechiffredaffaires.net","DZ","FR",102207,"7.5817","0.0007",102207,"0.0007"
"lecitoyendz.com","DZ","US",56933,"7.5817","0.0004",56933,"0.0004"
"lecourrier-dalgerie.com","DZ","FR",120623,"7.5817","0.0009",121098,"0.0009"
"lejournaldaffaire.com","DZ","FR",76844,"7.5817","0.0005",76838,"0.0005"
"lequotidienalgerie.org","DZ","CA",168206,"7.5817","0.0012",168206,"0.0012"
"ouest-info.org","DZ","FR",134628,"7.5817","0.0010",134628,"0.0010"
"sawtdjelfa.com","DZ","FR",47209,"7.5817","0.0003",164882,"0.0012"
"sport.elkhabar.com","DZ","US",288586,"7.5817","0.0020",288586,"0.0020"
"sport.ennaharonline.com","DZ","FR",227756,"7.5817","0.0016",227756,"0.0016"
"wakteldjazair.com","DZ","FR",203661,"7.5817","0.0014",203661,"0.0014"
"www.aboutalgeria.com","DZ","US",303785,"7.5817","0.0021",303786,"0.0021"
"www.actuel-dz.com","DZ","FR",92127,"7.5817","0.0007",92123,"0.0007"
"www.akhbarelyoum.dz","DZ","FR",83520,"7.5817","0.0006",83520,"0.0006"
"www.akhersaa-dz.com","DZ","FR",309795,"7.5817","0.0022",220974,"0.0016"
"www.al-fadjr.com","DZ","FR",276813,"7.5817","0.0020",276813,"0.0020"
"www.albassair.org","DZ","DE",51768,"7.5817","0.0004",51811,"0.0004"
"www.alger-republicain.com","DZ","FR",55078,"7.5817","0.0004",55078,"0.0004"
"www.algerep.com","DZ","FR",56410,"7.5817","0.0004",56410,"0.0004"
"www.algeria-newspapers.com","DZ","US",104301,"7.5817","0.0007",104301,"0.0007"
"www.algeriatimes.net","DZ","US",205562,"7.5817","0.0015",205562,"0.0015"
"www.algerie-focus.com","DZ","DE",222008,"7.5817","0.0016",222000,"0.0016"
"www.algerie1.com","DZ","US",74074,"7.5817","0.0005",75097,"0.0005"
"www.algerie360.com","DZ","US",148002,"7.5817","0.0010",148341,"0.0010"
"www.algerieconfluences.com","DZ","US",9054,"7.5817","0.0001",9629,"0.0001"
"www.algeriepatriotique.com","DZ","US",300423,"7.5817","0.0021",300423,"0.0021"
"www.annabacity.net","DZ","FR",51085,"7.5817","0.0004",51304,"0.0004"
"www.annasronline.com","DZ","FR",99562,"7.5817","0.0007",99562,"0.0007"
"www.bejaiainfo.com","DZ","US",152780,"7.5817","0.0011",152782,"0.0011"
"www.blida-aps.dz","DZ","DZ",39289,"7.5817","0.0003",39289,"0.0003"
"www.carrefourdalgerie.com","DZ","DZ",61218,"7.5817","0.0004",61227,"0.0004"
"www.competition.dz","DZ","FR",62095,"7.5817","0.0004",62095,"0.0004"
"www.constantine-aps.dz","DZ","DZ",43416,"7.5817","0.0003",43416,"0.0003"
"www.depechedekabylie.com","DZ","GB",88200,"7.5817","0.0006",88200,"0.0006"
"www.djazairess.com","DZ","US",107674,"7.5817","0.0008",108243,"0.0008"
"www.dzfoot.com","DZ","US",60230,"7.5817","0.0004",67593,"0.0005"
"www.echoroukonline.com","DZ","FR",285537,"7.5817","0.0020",285537,"0.0020"
"www.elbilad.net","DZ","US",67940,"7.5817","0.0005",114593,"0.0008"
"www.eldjoumhouria.dz","DZ","US",64776,"7.5817","0.0005",64776,"0.0005"
"www.elheddaf.com","DZ","US",139265,"7.5817","0.0010",139562,"0.0010"
"www.elkhabar.com","DZ","US",92262,"7.5817","0.0007",92260,"0.0007"
"www.elmoudjahid.com","DZ","US",101173,"7.5817","0.0007",101173,"0.0007"
"www.elwatan.com","DZ","FR",86162,"7.5817","0.0006",86162,"0.0006"
"www.ennaharonline.com","DZ","FR",195215,"7.5817","0.0014",195346,"0.0014"
"www.hebdoimmobilier-dz.com","DZ","US",73333,"7.5817","0.0005",73333,"0.0005"
"www.impact24.info","DZ","US",123860,"7.5817","0.0009",123860,"0.0009"
"www.infoconstantine.com","DZ","AU",2884,"7.5817","0.0000",2856,"0.0000"
"www.jeune-independant.net","DZ","US",127623,"7.5817","0.0009",127623,"0.0009"
"www.jijel-echo.com","DZ","GB",1510177,"7.5817","0.0107",1510190,"0.0107"
"www.jijel.info","DZ","FR",77638,"7.5817","0.0005",77638,"0.0005"
"www.kabyle.com","DZ","US",53474,"7.5817","0.0004",53804,"0.0004"
"www.kawalisse.com","DZ","FR",88045,"7.5817","0.0006",88045,"0.0006"
"www.lactualite-dz.info","DZ","US",6879,"7.5817","0.0000",6591,"0.0000"
"www.lautomarche.com","DZ","CH",147774,"7.5817","0.0010",147774,"0.0010"
"www.lebuteur.com","DZ","US",98038,"7.5817","0.0007",98978,"0.0007"
"www.lejourdalgerie.com","DZ","FR",55610,"7.5817","0.0004",55610,"0.0004"
"www.lematindz.net","DZ","GB",78379,"7.5817","0.0006",78379,"0.0006"
"www.lequotidien-oran.com","DZ","FR",55689,"7.5817","0.0004",55689,"0.0004"
"www.lesoirdalgerie.com","DZ","NL",26048,"7.5817","0.0002",26048,"0.0002"
"www.lestrepublicain.com","DZ","US",138119,"7.5817","0.0010",138119,"0.0010"
"www.letempsdz.com","DZ","FR",144918,"7.5817","0.0010",144294,"0.0010"
"www.liberte-algerie.com","DZ","CA",90877,"7.5817","0.0006",90877,"0.0006"
"www.livenewsalgerie.com","DZ","BG",106143,"7.5817","0.0007",106143,"0.0007"
"www.lnr-dz.com","DZ","FR",44367,"7.5817","0.0003",44367,"0.0003"
"www.mostaganem-aujourdhui.com","DZ","FR",44930,"7.5817","0.0003",44930,"0.0003"
"www.newpressphoto.com","DZ","FR",20481,"7.5817","0.0001",20481,"0.0001"
"www.oran-aps.dz","DZ","DZ",37230,"7.5817","0.0003",37230,"0.0003"
"www.oranais.com","DZ","FR",146272,"7.5817","0.0010",146229,"0.0010"
"www.ouargla-aps.dz","DZ","DZ",39647,"7.5817","0.0003",39647,"0.0003"
"www.ouarsenis.com","DZ","FR",109423,"7.5817","0.0008",109423,"0.0008"
"www.ouestribune-dz.com","DZ","FR",96914,"7.5817","0.0007",96914,"0.0007"
"www.planetesport.dz","DZ","FR",47606,"7.5817","0.0003",47606,"0.0003"
"www.presse-dz.com","DZ","US",65468,"7.5817","0.0005",65468,"0.0005"
"www.reflexiondz.net","DZ","FR",65892,"7.5817","0.0005",65893,"0.0005"
"www.reporters.dz","DZ","FR",99259,"7.5817","0.0007",98654,"0.0007"
"www.setif.info","DZ","CH",32119,"7.5817","0.0002",32119,"0.0002"
"www.setif.net","DZ","FR",29160,"7.5817","0.0002",29055,"0.0002"
"www.setifnews.com","DZ","US",2244,"7.5817","0.0000",2244,"0.0000"
"www.siwel.info","DZ","CH",136524,"7.5817","0.0010",136525,"0.0010"
"www.souk-ahras.info","DZ","DE",32838,"7.5817","0.0002",32838,"0.0002"
"www.tamurt.info","DZ","DE",513478,"7.5817","0.0036",513478,"0.0036"
"www.transactiondalgerie.com","DZ","CH",32632,"7.5817","0.0002",32632,"0.0002"
"www.tribunelecteurs.com","DZ","GB",174595,"7.5817","0.0012",174595,"0.0012"
"www.tsa-algerie.com","DZ","US",45428,"7.5817","0.0003",179923,"0.0013"
"akhbarelyom.com","EG","US",140570,"1.6968","0.0002",99995,"0.0002"
"egypttoday.com","EG","US",69210,"1.6968","0.0001",69210,"0.0001"
"hebdo.ahram.org.eg","EG","EG",104865,"1.6968","0.0002",104865,"0.0002"
"mubasher-misr.aljazeera.net","EG","DE",120469,"1.6968","0.0002",120469,"0.0002"
"new.elfagr.org","EG","US",124242,"1.6968","0.0002",124242,"0.0002"
"news.google.com","EG","US",503520,"1.6968","0.0008",1112625,"0.0018"
"ontveg.com","EG","US",320487,"1.6968","0.0005",320326,"0.0005"
"tahrirnews.com","EG","US",177848,"1.6968","0.0003",177848,"0.0003"
"weekly.ahram.org.eg","EG","EG",59804,"1.6968","0.0001",59804,"0.0001"
"www.24hnewspaper.net","EG","US",9668,"1.6968","0.0000",57588,"0.0001"
