"domain",mobile_page_size,desktop_page_size,objects_total,diff_mobile,diff_desktop
"www.aip.ci",127603,127603,2008515,-1880912,-1880912
"www.akaboozi.fm",85108,85109,784475,-699367,-699366
"www.akhbarelyoum.dz",83520,83520,237273,-153753,-153753
"www.akhbarlibya24.net",359,359,3488839,-3488480,-3488480
"www.akhersaa-dz.com",309795,220974,1975222,-1665427,-1754248
"www.akwaibomnewsonline.com",40448,29805,884809,-844361,-855004
"www.al-fadjr.com",276813,276813,8769084,-8492271,-8492271
"www.al-jarida.net",38674,38674,216580,-177906,-177906
"www.alakhbar.info",84119,84119,5985951,-5901832,-5901832
"www.alalam.ma",160895,160895,1000157,-839262,-839262
"www.albassair.org",51768,51811,15068,36700,36743
"www.alfa.cv",4669,4669,1770,2899,2899
"www.alger-republicain.com",55078,55078,54844,234,234
"www.algerep.com",56410,56410,54844,1566,1566
"www.algeria-newspapers.com",104301,104301,7781670,-7677369,-7677369
"www.algeriatimes.net",205562,205562,4326842,-4121280,-4121280
"www.algerie-focus.com",222008,222000,1642666,-1420658,-1420666
"www.algerie1.com",74074,75097,2389619,-2315545,-2314522
"www.algerie360.com",148002,148341,1366312,-1218310,-1217971
"www.algerieconfluences.com",9054,9629,273412,-264358,-263783
"www.algeriepatriotique.com",300423,300423,1962752,-1662329,-1662329
"www.allghananews.com",128555,128555,47362,81193,81193
"www.allnigeriasoccer.com",19272,18901,285355,-266083,-266454
"www.allpuntland.com",93940,93940,320720,-226780,-226780
"www.allsomali.com",10518,10401,272645,-262127,-262244
"www.almaghribia.ma",46822,46821,3109673,-3062851,-3062852
"www.almasryalyoum.com",67241,125953,684461,-617220,-558508
"www.almessa.net.eg",251763,251763,75476,176287,176287
"www.almizan.info",33264,33264,167533,-134269,-134269
"www.almshaheer.com",67683,67683,383879,-316196,-316196
"www.alome.com",60459,60459,436887,-376428,-376428
"www.alsahafa.info",18662,18594,275539,-256877,-256945
"www.alwafd.org",51690,122494,2424174,-2372484,-2301680
"www.alwatanalarabi.com",219292,180316,1477747,-1258455,-1297431
"www.alwihdainfo.com",150080,150080,3059438,-2909358,-2909358
"www.amalawi.info",34476,79929,314044,-279568,-234115
"www.ami.mr",50240,50240,334337,-284097,-284097
"www.angola24.net",21523,21523,270520,-248997,-248997
"www.angolaglobal.net",298,298,57024,-56726,-56726
"www.angonoticias.com",45493,45486,2661491,-2615998,-2616005
"www.ann7.com",215146,215146,5154806,-4939660,-4939660
"www.annabacity.net",51085,51304,855375,-804290,-804071
"www.annasronline.com",99562,99562,2050716,-1951154,-1951154
"www.antennereunion.fr",343723,343723,2938919,-2595196,-2595196
"www.aouaga.com",66531,66531,496007,-429476,-429476
"www.apctimes.com",66446,66446,973163,-906717,-906717
"www.aproko247.com",92895,92895,1762022,-1669127,-1669127
"www.aps.sn",96615,96615,461756,-365141,-365141
"www.arenebi.com",274414,274692,2431998,-2157584,-2157306
