"domain","cc","geoloc_cc",size_mobile,"price_mobile",size_desktop,"price_desktop"
"newctzen.com","SL","GB",62872,"0.0006",69751,"0.0007"
"newmail-ng.com","NG","US-KS",267409,"0.0009",267409,"0.0009"
"news.aniamey.com","NE","US",95470,"0.0023",95470,"0.0023"
"news.bestnaira.com","NG","US",20327,"0.0001",20623,"0.0001"
"news.google.com","BW","US-CA",593376,"0.0185",1082056,"0.0338"
"news.google.com","EG","US-CA",503520,"0.0008",1112625,"0.0018"
"news.google.com","ET","US-CA",595199,"0.0034",1118710,"0.0065"
"news.google.com","GH","US-CA",591426,"0.0028",1114829,"0.0052"
"news.google.com","KE","US-CA",594284,"0.0023",1120888,"0.0044"
"news.google.com","MA","US-CA",596419,"0.0026",1121778,"0.0049"
"news.google.com","NA","US-CA",593760,"0.0037",1123564,"0.0071"
"news.google.com","NG","US-CA",595311,"0.0021",1124045,"0.0039"
"news.google.com","SN","US-CA",593488,"0.0040",1116160,"0.0075"
"news.google.com","TZ","US-CA",593301,"0.0018",1117385,"0.0035"
"news.google.com","UG","US-CA",595205,"0.0038",1119079,"0.0071"
"news.google.com","ZA","US-CA",593287,"0.0061",1118327,"0.0116"
"news.google.com","ZW","US-CA",598860,"0.0177",1104771,"0.0326"
"news.maraviexpress.com","MW","GB",154743,"0.0008",154743,"0.0008"
"news.sudanvisiondaily.com","SD","US-WA",6907,"0.0000",6371,"0.0000"
"newsdiaryonline.com","NG","US",289548,"0.0010",289548,"0.0010"
"newsducamer.com","CM","US-AZ",198100,"0.0017",172855,"0.0015"
"newsinvestigatorsng.com","NG","CA-QC",88093,"0.0003",88093,"0.0003"
"newslexpoint.com","UG","GB",366603,"0.0023",368540,"0.0023"
"newsly.ma","MA","FR",38216,"0.0002",38216,"0.0002"
"newsofthesouth.com","ZW","GB",69050,"0.0020",69050,"0.0020"
"newsvyb.com","ZW","US-WA",10531,"0.0003",10531,"0.0003"
"newzimbabwevision.com","ZW","DE",70266,"0.0021",70266,"0.0021"
"ngex.com","NG","US-IL",85980,"0.0003",85829,"0.0003"
"nhasimugweru.blogspot.com","ZW","US-CA",43152,"0.0013",125619,"0.0037"
"nigerdiaspora.net","NE","US",224009,"0.0054",224009,"0.0054"
"nigeriaindependent.com","NG","US-TX",27401,"0.0001",27401,"0.0001"
"nigerianbeacon.com","NG","US",205008,"0.0007",203381,"0.0007"
"nigerianinquirer.com","NG","DE",10595,"0.0000",11020,"0.0000"
"nigeriantimes.ng","NG","US-AZ",155596,"0.0005",207051,"0.0007"
"nigeriapoliticsonline.com","NG","US-UT",203044,"0.0007",203216,"0.0007"
"nigeriastandardnewspaper.com","NG","US-NJ",586129,"0.0020",586128,"0.0020"
"northcliffmelvilletimes.co.za","ZA","US",128907,"0.0013",294438,"0.0030"
"northeasterntribune.co.za","ZA","US",109779,"0.0011",294245,"0.0030"
"northglennews.co.za","ZA","US",109408,"0.0011",288856,"0.0030"
"noticiasdonorte.publ.cv","CV","US-CA",64739,"0.0003",64739,"0.0003"
"novagazeta.co.ao","AO","PT",21726,"0.0004",21726,"0.0004"
"ntv.nation.co.ke","KE","US",39547,"0.0002",39547,"0.0002"
"observer24.com.na","NA","DE",86592,"0.0005",86592,"0.0005"
"ogavendor.com","NG","DE",80132,"0.0003",100955,"0.0004"
"ontveg.com","EG","US-AZ",320487,"0.0005",320326,"0.0005"
"opais.co.ao","AO","US",85492,"0.0017",85494,"0.0017"
"ouest-info.org","DZ","FR",134628,"0.0010",134628,"0.0010"
"patsakacommunityradio.org","ZW","US-CA",97975,"0.0029",97942,"0.0029"
"plentynews.com","NG","AU",1442,"0.0000",1442,"0.0000"
"pointblanknews.com","NG","US-CA",104899,"0.0004",104899,"0.0004"
"politicosl.com","SL","US-TX",67031,"0.0007",67031,"0.0007"
"polokwaneexpress.co.za","ZA","ZA",101593,"0.0011",271022,"0.0028"
"ppbdi.com","BI","US-TX",123230,"0.0004",122675,"0.0004"
"pulse.ng","NG","DE",107860,"0.0004",146404,"0.0005"
"puntlandi.com","SO","DK",145782,NULL,145782,NULL
"puntlandnews24.com","SO","US-TX",103046,NULL,103046,NULL
"quotidienlemessager.net","CM","US-TX",16485,"0.0001",27404,"0.0002"
"radiodemocracy.sl","SL","NL",97259,"0.0010",97259,"0.0010"
"radiodespertarangola.net","AO","US-FL",114346,"0.0023",114346,"0.0023"
"radiookapi.net","CD","US",61782,"0.0012",111495,"0.0021"
"radioonefm90.com","UG","MU",44528,"0.0003",44528,"0.0003"
"randburgsun.co.za","ZA","US",108373,"0.0011",282377,"0.0029"
"rasd.tv","EH","DE",22309,NULL,26146,NULL
"realnewsmagazine.net","NG","US-UT",110083,"0.0004",110083,"0.0004"
"rekordcenturion.co.za","ZA","US",123331,"0.0013",284396,"0.0029"
"rekordeast.co.za","ZA","US",109838,"0.0011",300597,"0.0031"
"reporters365.com","NG","US-GA",257995,"0.0009",257995,"0.0009"
"reunion.la1ere.fr","RE","EU",151869,NULL,151869,NULL
"risingsunchatsworth.co.za","ZA","US",113047,"0.0012",287730,"0.0030"
"royaltimes.net","NG","US-PA",78487,"0.0003",77960,"0.0003"
"rwandawire.com","RW","US-CA",37271,"0.0001",37271,"0.0001"
"saharaoccidental.blogspot.com","EH","US-CA",37970,NULL,93675,NULL
"saharareporters.com","NG","US",175135,"0.0006",159861,"0.0006"
"salonepost.com","SL","US-IL",11652,"0.0001",11652,"0.0001"
"sandtonchronicle.co.za","ZA","US",125782,"0.0013",296680,"0.0031"
"sandtonmag.co.za","ZA","US-NJ",48790,"0.0005",48790,"0.0005"
"sawtdjelfa.com","DZ","FR",47209,"0.0003",164882,"0.0012"
"scannewsnigeria.com","NG","US-TX",89664,"0.0003",89664,"0.0003"
"sedibengster.com","ZA","ZA",63248,"0.0007",183572,"0.0019"
"senego.com","SN","US",125606,"0.0008",125976,"0.0008"
"silverbirdtv.com","NG","NL",148366,"0.0005",148390,"0.0005"
"siyimbali.com","SZ","US",58413,NULL,58413,NULL
"slconcordtimes.com","SL","US-CA",53408,"0.0005",53408,"0.0005"
"slpublicopinion.wordpress.com","SL","US-CA",54648,"0.0005",57425,"0.0006"
"somaliaone.net","SO","BG",112922,NULL,112922,NULL
"somalilandpress.com","SO","US-AZ",67769,NULL,197751,NULL
"sosanews.com","SS","US",31100,"0.0002",31590,"0.0002"
"source.co.zw","ZW","US-TX",123548,"0.0036",123548,"0.0036"
"southafricatoday.net","ZA","US",57915,"0.0006",196735,"0.0020"
"southcoastherald.co.za","ZA","US",108385,"0.0011",284795,"0.0029"
"southcoastsun.co.za","ZA","US",118984,"0.0012",277586,"0.0029"
"southernafrican.news","NA","DE",129805,"0.0008",128145,"0.0008"
"southlandssun.co.za","ZA","US",103266,"0.0011",270923,"0.0028"
"southsudantoday.net","SS","US-FL",5153,"0.0000",1104,"0.0000"
"southsudantribune.org","SS","US-IL",46218,"0.0003",46218,"0.0003"
"sport.elkhabar.com","DZ","US",288586,"0.0020",288586,"0.0020"
"sport.ennaharonline.com","DZ","FR",227756,"0.0016",227756,"0.0016"
"sportbrief.co.zw","ZW","GB",203206,"0.0060",203206,"0.0060"
"spr.fm","SO","US-MA",10933,NULL,19160,NULL
"standardtimespress.org","SL","BG",56534,"0.0006",56534,"0.0006"
"startvtz.com","TZ","US-MA",31147,"0.0001",31151,"0.0001"
