"domain","probe_cc","hosting_cc1","hop_count"
"www.aufait.ma","MA","DE",9
"www.aujourdhui.ma","MA","US",7
"www.autrequotidien.com","BJ","",5
"www.autrequotidien.com","BJ","US",7
"www.awrambatimes.com","ET","US",12
"www.az.com.na","NA","US",5
"www.b-metro.co.zw","ZW","ZA",6
"www.babnet.net","TN","US",6
"www.bakhitaradio.org","SS","AU",13
"www.ballitonews.co.za","ZA","US",12
"www.banjulfocus.com","GM","US",6
"www.bdlive.co.za","ZA","US",6
"www.beeld.com","ZA","ZA",7
"www.bejaiainfo.com","DZ","US",11
"www.bellanaija.com","NG","FR",8
"www.benin24tv.com","BJ","US",5
"www.benininfo.com","BJ","",5
"www.benininfo.com","BJ","US",11
"www.bh24.co.zw","ZW","US",12
"www.bignigeria.com","NG","US",9
"www.bizday.co.zw","ZW","",6
"www.blida-aps.dz","DZ","DZ",4
"www.bonaberi.com","CM","FR",43
"www.bonesha.bi","BI","DE",9
"www.bordj.info","DZ","CH",5
"www.botswanaguardian.co.bw","BW","US",6
"www.bravanews.com","CV","US",6
"www.bugandawatch.com","UG","US",13
"www.bujumbura.be","BI","BE",9
"www.bukedde.co.ug","UG","SG",10
"www.burundi-sites.com","BI","FR",6
"www.burundi.gov.bi","BI","DE",9
"www.burundirealite.org","BI","US",10
"www.business-et-finances.com","CD","CA",9
"www.businessdaily.co.zw","ZW","GB",11
"www.businessdailyafrica.com","KE","US",5
"www.businessdaytv.co.za","ZA","US",6
"www.businessghana.com","GH","US",8
"www.businesstimes.co.tz","TZ","DE",8
"www.businessweekly.co.bw","BW","US",12
"www.busiweek.com","UG","US",11
"www.cabodiario.com","CV","GB",12
"www.caboverdeonline.com","CV","US",7
"www.cairolive.com","EG","US",6
"www.cairotimes.com","EG","DE",7
"www.camer.be","CM","DE",39
"www.cameroon-info.net","CM","US",38
"www.cameroon-tribune.cm","CM","US",44
"www.cameroononline.org","CM","US",40
"www.cameroonpostline.com","CM","US",38
"www.cameroonweb.com","CM","US",9
"www.cameroun-online.com","CM","IT",43
"www.cameroun24.net","CM","CA",43
"www.camerounactu.net","CM","US",20
"www.camerounlink.net","CM","DE",43
"www.camnews24.com","CM","DE",38
"www.capetalk.co.za","ZA","ZA",15
"www.capitalfm.co.ke","KE","US",5
"www.capitalradiomalawi.com","MW","MW",5
"www.carletonvilleherald.com","ZA","ZA",6
"www.carrefourdalgerie.com","DZ","DZ",9
"www.cbc-eg.com","EG","US",5
"www.cbn.co.za","ZA","ZA",5
"www.channelafrica.co.za","ZA","ZA",6
"www.channelstv.com","NG","US",6
"www.channelzim.net","ZW","NL",7
"www.chikuniradiozm.org","ZM","US",10
"www.chimpreports.com","UG","US",11
"www.chronicle.co.zw","ZW","US",6
"www.citifmonline.com","GH","US",9
"www.citizentv.co.ke","KE","US",5
"www.citypress.co.za","ZA","ZA",7
"www.cknnigeria.com","NG","US",31
"www.clicanoo.re","RE","US",6
"www.club-k.net","AO","US",4
"www.coastweek.com","KE","US",8
"www.competition.dz","DZ","FR",6
"www.confidente.com.na","NA","US",7
"www.congo-site.com","CG","FR",8
"www.congo24.net","CD","US",8
"www.congoindependant.com","CD","DK",9
"www.congojet.com","CD","US",5
"www.congolais.fr","CD","FR",8
"www.congopage.com","CG","US",3
"www.congoplanet.com","CD","US",10
"www.congoplanete.com","CD","US",10
"www.congotribune.com","CD","JP",11
"www.congovision.com","CD","US",10
"www.connectionivoirienne.net","CI","NL",13
"www.constantine-aps.dz","DZ","DZ",5
"www.cote-d-ivoire.info","CI","FR",5
"www.cote-d-ivoire.net","CI","FR",5
"www.courriercasablanca.com","MA","CA",6
"www.cxpress.co.za","ZA","ZA",5
"www.cyberethiopia.com","ET","US",8
"www.dac-presse.com","CG","DE",4
"www.daily-mail.co.zm","ZM","ZM",3
"www.dailyguideghana.com","GH","DE",6
"www.dailyheritageonline.com","GH","US",9
"www.dailymaverick.co.za","ZA","US",5
"www.dailynation.news","ZM","US",10
"www.dailynews.co.zw","ZW","IE",9
"www.dailynews.gov.bw","BW","BW",5
"www.dailynewsegypt.com","EG","US",6
